line_no,service_type,variant,note,from_start_time,to_start_time,headway_minutes
10,daily,ΓΑΖΙ,,06:20,06:20,0
10,daily,ΓΑΖΙ,,06:20,07:17,57
10,daily,ΓΑΖΙ,,07:17,07:17,0
10,daily,ΓΑΖΙ,,07:17,07:35,18
10,daily,ΓΑΖΙ,,07:35,07:55,20
10,daily,ΓΑΖΙ,,07:55,08:20,25
10,daily,ΓΑΖΙ,,08:20,08:20,0
10,daily,ΓΑΖΙ,,08:20,09:10,50
10,daily,ΓΑΖΙ,,09:10,09:17,7
10,daily,ΓΑΖΙ,,09:17,09:17,0
10,daily,ΓΑΖΙ,,09:17,10:10,53
10,daily,ΓΑΖΙ,,10:10,11:15,65
10,daily,ΓΑΖΙ,,11:15,11:15,0
10,daily,ΓΑΖΙ,,11:15,12:15,60
10,daily,ΓΑΖΙ,,12:15,13:10,55
10,daily,ΓΑΖΙ,,13:10,13:30,20
10,daily,ΓΑΖΙ,,13:30,13:43,13
10,daily,ΓΑΖΙ,,13:43,13:43,0
10,daily,ΓΑΖΙ,,13:43,15:35,112
10,daily,ΓΑΖΙ,,15:35,15:35,0
10,daily,ΓΑΖΙ,,15:35,16:10,35
10,daily,ΓΑΖΙ,,16:10,16:35,25
10,daily,ΓΑΖΙ,,16:35,16:35,0
10,daily,ΓΑΖΙ,,16:35,18:35,120
10,daily,ΓΑΖΙ,,18:35,18:35,0
10,daily,ΓΑΖΙ,,18:35,19:10,35
10,daily,ΓΑΖΙ,,19:10,19:30,20
10,daily,ΓΑΖΙ,,19:30,19:30,0
10,daily,ΓΑΖΙ,,19:30,20:35,65
10,daily,ΓΑΖΙ,,20:35,21:35,60
10,daily,ΓΑΖΙ,,21:35,21:35,0
10,daily,ΓΑΖΙ,,21:35,22:10,35
10,daily,ΓΑΖΙ,,22:10,22:10,0
10,daily,ΓΑΖΙ,,22:10,22:20,10
10,daily,ΓΑΖΙ,,22:20,22:20,0
10,daily,ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ,,10:15,10:15,0
10,daily,ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ,,10:15,10:15,0
