code,name,latitude,longitude,lines,routes
2196,,35.30842748181416,25.15414555969474,20,30090
0822,,35.31847899394434,25.15131788184287,20,30090
0122,62 MARTYRON 200 - JUMBO,35.3301472,25.1094763,06;10;11;12;17;19;21;31;50,1027;20031;20043;20075;20083;20093;20095;20100;21009;21013;21015;21016;21018;21029;21033;21034;23029;29310;29923;3002;30065;30066;30067;31028;33032;4002;9101
1037,62 MARTYRON 366,35.3318435,25.1032618,01;20,30083;30095;31009;31010;31033;31034
1036,62 MARTYRON 370 - PAGKRITIO STADIUM,35.3324737,25.1015153,01;20,30083;30095;31009;31010;31033;31034
0614,AGIA ANNA,35.3303803,25.1407479,05,1008
0637,AGIA ANNA,35.330679,25.1402942,05;50,1008;20200;3003
1308,AGIA EIRINI,35.2848579,25.1651481,02,20002;21002
9933,AGIA EIRINI - SPILIA,35.2849424,25.1650022,20,31002
0205,AGIOI THEODOROI,35.3182586,25.0933493,11;21;50,1027;20093;21013;21015;21016;29310;29923;30098
0209,AGIOI THEODOROI,35.3182881,25.0938658,01;07;14;20;21;50,0091;0932;1027;29124;30094;30096;30099;31013;31015;39310
4440,AGIOS EUGENIOS,35.3129387,25.1424894,20,30073;30108;31007
0607,AGIOS GEORGIOS,35.3363113,25.1465499,05,1008;1110
0644,AGIOS GEORGIOS,35.3363344,25.1467133,05,1008;1110
0801,AGIOS GEORGIOS,35.3188436,25.0576221,10,20095;21034
0802,AGIOS GEORGIOS,35.3192432,25.0579576,01;20,30095;31034
0902,AGIOS IOANNI XOSTOS,35.3205808,25.1144655,15,21022
0304,AGIOS IOANNIS AMNISSOS,35.3332021,25.1899908,07,20064;30096
0316,AGIOS IOANNIS AMNISSOS,35.3333659,25.1901982,12;19,20100;30066
1205,AGIOS KONSTANTINOS,35.3280012,25.1378467,02;03;04;09;23;50,0062;20002;21001;21002;21003;21007;21028;21031
1261,AGIOS PANTELEIMONAS,35.258553,25.1317419,20;50,0081;31031;31032
1244,AGIOS RAFAIL,35.2856506,25.1414474,20;50,0081;0082;31031;31032
9942,AGIOS VLASIS 3,35.2516708,25.1322841,09,21031
9941,AGIOS VLASIS 4,35.2507355,25.1322452,20,31031;31032
0305,AGIOU ALEXANDROU,35.3299464,25.1914288,07,20064;21012;30096
0315,AGIOU ALEXANDROU,35.330031,25.1916191,12;19,20100;30066
9923,AGIOU ANTONIOU & NIKOLAOU,35.3009806,25.0995819,19;50,20043;30098
9924,AGIOU ANTONIOU & NIKOLAOU 38,35.304724,25.1016534,01;50,30099;31025;31026
9922,AGIOU ANTONIOU & NIKOLAOU GELASIOU KALAITZAKI,35.3003861,25.0993766,01;50,30099;31025;31026
1254,AGIOU DIMITRIOU,35.2467389,25.1210886,09,21031
1258,AGIOU DIMITRIOU,35.2467622,25.1212892,20,31031;31032
1232,AGIOU KONSTANTINOU AVENUE KNOSSOU 95,35.32885581514677,25.138016359418756,17;20;50,0062;1061;20200;31001;31002;31003;31007;31028;31031;31032
0133,AGIOU MINA,35.3372542,25.1303848,01;05;07;14;20;23;50;92,0032;0062;0091;0932;1008;1035;1110;20033;20056;20064;20065;21012;21028;29124;30051;30075;30083;30094;30095;30096;31009;31010;31013;31015;31018;31022;31025;31026;31029;31033;31034;33029;39310;9944
