trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,06:20,06:55,380,415,35,daily,k10.pdf,1
3,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,07:17,08:10,437,490,53,daily,k10.pdf,1
4,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,08:20,09:10,500,550,50,daily,k10.pdf,1
5,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ,ΛΙΜΑΝΙ,,09:17,10:10,557,610,53,daily,k10.pdf,1
6,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,10:15,11:10,615,670,55,daily,k10.pdf,1
7,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,11:15,12:10,675,730,55,daily,k10.pdf,1
8,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,12:25,13:30,745,810,65,daily,k10.pdf,1
9,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,13:43,14:25,823,865,42,daily,k10.pdf,1
10,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ - ΛΙΜΑΝΙ,ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ,ΛΙΜΑΝΙ,,13:53,14:45,833,885,52,daily,k10.pdf,1
11,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,14:20,15:10,860,910,50,daily,k10.pdf,1
