trip_index,line_no,route_text_raw,variant,origin,destination,note,start_time,terminal_time,start_minutes,terminal_minutes,trip_minutes,service_type,source_pdf,source_page
1,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,06:50,07:20,410,440,30,unknown,s10.pdf,1
2,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,07:55,08:30,475,510,35,unknown,s10.pdf,1
3,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,09:10,09:40,550,580,30,unknown,s10.pdf,1
4,10,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΛΙΜΑΝΙ.,ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ,ΛΙΜΑΝΙ.,,10:30,11:10,630,670,40,unknown,s10.pdf,1
5,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,12:15,12:40,735,760,25,unknown,s10.pdf,1
6,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,13:30,14:10,810,850,40,unknown,s10.pdf,1
7,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,15:15,15:45,915,945,30,unknown,s10.pdf,1
8,10,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ.,,16:35,17:10,995,1030,35,unknown,s10.pdf,1
9,10,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ.,,18:00,18:40,1080,1120,40,unknown,s10.pdf,1
10,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,20:35,21:10,1235,1270,35,unknown,s10.pdf,1
11,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,22:10,22:40,1330,1360,30,unknown,s10.pdf,1
1,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,06:50,07:20,410,440,30,unknown,s10.pdf,1
2,10,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΛΙΜΑΝΙ.,ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ,ΛΙΜΑΝΙ.,,10:30,11:10,630,670,40,unknown,s10.pdf,1
5,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,15:15,15:45,915,945,30,unknown,s10.pdf,1
1,10,ΑΕΡΟΔΡΟΜΙΟ - ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ,ΑΕΡΟΔΡΟΜΙΟ,,06:50,07:20,410,440,30,daily,s10.pdf,2
2,10,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΛΙΜΑΝΙ.,ΚΑΒΡΟΧΩΡΙ,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ,ΛΙΜΑΝΙ.,,10:30,11:10,630,670,40,daily,s10.pdf,2
3,10,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ.,,16:35,17:10,995,1030,35,daily,s10.pdf,2
4,10,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ.,ΑΕΡΟΔΡΟΜΙΟ- ΓΑΖΙ,ΑΕΡΟΔΡΟΜΙΟ.,,18:00,18:40,1080,1120,40,daily,s10.pdf,2
1,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,07:55,08:30,475,510,35,daily,s10.pdf,2
2,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,09:10,09:40,550,580,30,daily,s10.pdf,2
3,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,12:15,12:40,735,760,25,daily,s10.pdf,2
4,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,13:30,14:10,810,850,40,daily,s10.pdf,2
5,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΚΑΒΡΟΧΩΡΙ - ΑΕΡΟΔΡΟΜΙΟ,ΓΑΖΙ / ΚΑΒΡΟΧΩΡΙ,ΛΙΜΑΝΙ,ΑΕΡΟΔΡΟΜΙΟ,,15:15,15:45,915,945,30,daily,s10.pdf,2
6,10,ΛΙΜΑΝΙ - ΓΑΖΙ - ΛΙΜΑΝΙ,ΓΑΖΙ,ΛΙΜΑΝΙ,ΛΙΜΑΝΙ,,20:35,21:10,1235,1270,35,daily,s10.pdf,2
